kraken_pluspfp_100_report_bracken_species	kraken_pluspfp_105_report_bracken_species	kraken_pluspfp_110_report_bracken_species	kraken_pluspfp_111_report_bracken_species	kraken_pluspfp_112_report_bracken_species	kraken_pluspfp_117_report_bracken_species	kraken_pluspfp_121_report_bracken_species	kraken_pluspfp_122_report_bracken_species	kraken_pluspfp_123_report_bracken_species	kraken_pluspfp_129_report_bracken_species	kraken_pluspfp_133_report_bracken_species	kraken_pluspfp_134_report_bracken_species	kraken_pluspfp_135_report_bracken_species	kraken_pluspfp_140_report_bracken_species	kraken_pluspfp_141_report_bracken_species	kraken_pluspfp_145_report_bracken_species	kraken_pluspfp_146_report_bracken_species	kraken_pluspfp_147_report_bracken_species	kraken_pluspfp_152_report_bracken_species	kraken_pluspfp_153_report_bracken_species	kraken_pluspfp_157_report_bracken_species	kraken_pluspfp_158_report_bracken_species	kraken_pluspfp_159_report_bracken_species	kraken_pluspfp_164_report_bracken_species	kraken_pluspfp_165_report_bracken_species	kraken_pluspfp_169_report_bracken_species	kraken_pluspfp_170_report_bracken_species	kraken_pluspfp_171_report_bracken_species	kraken_pluspfp_176_report_bracken_species	kraken_pluspfp_177_report_bracken_species	kraken_pluspfp_181_report_bracken_species	kraken_pluspfp_182_report_bracken_species	kraken_pluspfp_183_report_bracken_species	kraken_pluspfp_188_report_bracken_species	kraken_pluspfp_98_report_bracken_species	kraken_pluspfp_99_report_bracken_species	taxonomy
5062	193	187	189	245	135	227	255	337	177	170	139	527	505	177	132	101	224	181	251	294	135	417	81	400	392	154	244	68	214	63	189	128	156	139	104	139	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__oryzae
5059	12	22	31	26	47	20	17	18	0	28	19	36	21	26	10	21	0	17	10	33	20	25	16	31	22	18	28	19	19	15	39	16	0	0	13	14	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__flavus
182096	191	383	447	451	191	366	391	390	241	309	239	579	417	374	245	228	386	291	369	364	271	381	171	554	510	337	342	216	333	135	356	260	224	244	254	283	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__chevalieri
1220207	186	372	361	421	191	372	376	323	232	287	231	474	360	294	275	233	315	259	251	336	240	366	187	415	445	305	337	153	298	158	281	222	215	246	254	311	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__puulaauensis
162425	128	286	284	257	158	295	278	231	168	194	180	389	271	257	218	220	268	179	226	261	205	318	131	344	348	234	284	148	273	131	231	214	181	211	183	195	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__nidulans
69781	308	915	1036	834	345	837	840	943	374	658	500	1235	904	744	495	485	665	512	803	841	564	1009	276	1542	906	656	724	268	720	235	681	432	400	557	409	475	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__oxalicum
121627	264	392	860	484	315	394	586	1711	463	347	232	1032	2941	385	320	255	941	679	621	591	274	901	235	725	569	357	561	344	403	152	350	438	416	376	2350	594	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__rugulosus
37727	149	286	272	297	145	229	361	329	203	206	188	923	314	597	217	202	643	264	564	318	199	964	156	416	397	236	272	128	289	92	212	170	179	296	181	198	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__marneffei
122368	326	806	542	849	453	714	1008	803	439	538	396	1059	790	661	585	315	1066	536	654	952	409	1301	389	1064	1453	517	752	417	720	328	480	563	472	509	383	462	k__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Cercospora; s__beticola
5499	277	427	362	403	256	403	476	362	290	311	332	578	503	350	313	288	667	315	381	460	272	690	265	511	847	365	479	248	400	250	375	366	335	359	260	316	k__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Fulvia; s__fulva
